IDs	original.IDs	studies	DB.IDs	PubChem.CIDs	preferred.drug.names	collections	Santi.MoAs	main.MoAs	collapsed.MoAs
sig-21251	K62304154	PRISM	DB06233	11520894	DEFOROLIMUS	SSc	mTOR/PI3K inhibitor	PI3K/AKT/mTOR signaling inhibitor	PI3K/AKT/mTOR signaling inhibitor
sig-21236	K59325863	PRISM	DB11956	24800541	DELANZOMIB	SSc	proteasome inhibitor	Ubiquitin-proteasome system inhibitor	Ubiquitin-proteasome system inhibitor
sig-20983	A35108200	CTRP	DB01234	5743	DEXAMETHASONE	SSc	Other	Glucocorticoid receptor agonist	Glucocorticoid receptor agonist
sig-21113	K23779958	PRISM	DB11397	3039	DICHLORVOS	SSc	Other	Insecticide	Other
sig-21147	K33720171	PRISM	DB06781	443936	DIFLUPREDNATE	SSc	glucocorticoid receptor agonist	Glucocorticoid receptor agonist	Glucocorticoid receptor agonist
sig-20943	1827	GDSC	NA	243725	DIHYDROROTENONE	SSc	Other	Mitochondrial inhibitor	Other
sig-20901	1180	GDSC	DB12021	46926350	DINACICLIB	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21077	K13662825	CTRP	DB12021	46926350	DINACICLIB	SSc	CDK inhibitor	Cell cycle arrest	Cell cycle arrest
sig-21078	K13662825	PRISM	DB12021	46926350	DINACICLIB	SSc	NA	Cell cycle arrest	Cell cycle arrest
sig-21277	K65814004	PRISM	NA	3101	DIPHENYLENEIODONIUM	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-20941	1819	GDSC	DB01248	148124	DOCETAXEL	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20967	A05821830	CTRP	DB01248	148124	DOCETAXEL	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21141	K30577245	PRISM	DB01248	148124	DOCETAXEL	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21447	M60574774	CTRP	NA	NA	DOCETAXEL:TANESPIMYCIN (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-21336	K78567475	PRISM	DB12730	9810929	DOLASTATIN-10	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21388	K92093830	CTRP	DB00997	31703	DOXORUBICIN	SSc	Other	DNA replication inhibitor	DNA related agent
sig-21389	K92093830	PRISM	DB00997	31703	DOXORUBICIN	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21418	M01915239	CTRP	NA	NA	DOXORUBICIN:NAVITOCLAX (2:1 MOL/MOL)	SSc	NA	Combination drug	Combination drug
sig-20998	A47953250	PRISM	NA	6442003	ECAMSULE-TRIETHANOLAMINE	SSc	NA		Other
sig-21011	A68969091	PRISM	NA	3197	ECHINOMYCIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-20924	1712	GDSC	NA	NA	EG5_9814	SSc	Other	Cell cycle arrest	Cell cycle arrest
sig-21354	K82135108	PRISM	DB05719	300471	ELESCLOMOL	SSc	NA	ROS/RNS modulator	ROS/RNS modulator
sig-20966	A04287157	CTRP	DB06194	11396600	ELOCALCITOL	SSc	Other	Vitamin D receptor agonist	Other
sig-20918	1593	GDSC	DB11841	4261	ENTINOSTAT	SSc	Chromatin agents	Chromatin agent	Chromatin agent
sig-21333	K77908580	CTRP	DB11841	4261	ENTINOSTAT	SSc	HDAC inhibitor	Chromatin agent	Chromatin agent
sig-21220	K55591206	CTRP	NA	65064	EPIGALLOCATECHIN-3-MONOGALLATE	SSc	Other	ROS/RNS modulator	ROS/RNS modulator
sig-20911	1511	GDSC	DB00445	41867	EPIRUBICIN	SSc	DNA related agent	DNA replication inhibitor	DNA related agent
sig-21041	K04548931	PRISM	DB00445	41867	EPIRUBICIN	SSc	topoisomerase inhibitor	DNA replication inhibitor	DNA related agent
sig-21315	K71823332	PRISM	NA	448799	EPOTHILONE-A	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21290	K68164687	PRISM	DB03010	448013	EPOTHILONE-B	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-21206	K52762805	PRISM	NA	447865	EPOTHILONE-D	SSc	Microtubule agents	Microtubule agent	Microtubule agent
sig-20976	A25004090	CTRP	NA	11214940	ERASTIN	SSc	Other	Ferroptosis inducer	Ferroptosis inducer
sig-20976	A25004090	CTRP	NA	11214940	ERASTIN	SSc	Other	Ion channel blocker	Ferroptosis inducer
sig-20925	1713	GDSC	NA	NA	ERK_2440	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-20926	1714	GDSC	NA	NA	ERK_6604	SSc	ERK MAPK signaling	MAPK inhibitor	MAPK inhibitor
sig-21304	K70401845	CTRP	DB00530	176870	ERLOTINIB	SSc	EGFR inhibitor	ErbB inhibitor	EGFR inhibitor
